address_type  backends  cidrs  TotalCIDRFilesSize_MB  VMSize_MB  VMPeak_MB  HaproxyStartupTime_S
------------  --------  -----  ---------------------  ---------  ---------  --------------------
ipv4          0         0      0                  856        918        1.19
ipv4          1         1      1                  856        918        1.13
ipv4          1         1000   1                  856        918        1.17
ipv4          0         0      0                  856        918        1.18
ipv4          1         1      1                  856        916        1.18
ipv4          1         1000   1                  856        916        1.12
ipv4          1         2000   1                  857        917        1.20
ipv4          1         4000   1                  857        919        1.18
ipv4          1         10000  1                  858        920        1.18
ipv4          500       1      2                  866        928        1.19
ipv4          500       1000   8                  957        1019       1.44
ipv4          500       2000   14                 1049       1109       1.60
ipv4          500       4000   26                 1232       1294       2.07
ipv4          500       10000  65                 1781       1843       3.21
ipv4          1000      1      4                  875        937        1.18
ipv4          1000      1000   16                 1058       1120       1.71
ipv4          1000      2000   28                 1241       1303       2.08
ipv4          1000      4000   51                 1607       1669       2.84
ipv4          1000      10000  130                2706       2768       5.35
ipv4          2000      1      8                  894        954        1.33
ipv4          2000      1000   32                 1260       1322       2.35
ipv4          2000      2000   55                 1626       1688       3.09
ipv4          2000      4000   102                2358       2420       4.77
ipv4          2000      10000  258                4556       4616       9.91
ipv4          3000      1      12                 913        975        1.61
ipv4          3000      1000   47                 1462       1524       3.12
ipv4          3000      2000   83                 2011       2073       4.35
ipv4          3000      4000   153                3110       3172       6.92
ipv4          3000      10000  387                6405       6467       14.98
ipv6          0         0      0                  856        918        1.43
ipv6          1         1      1                  856        918        1.20
ipv6          1         1000   1                  856        918        1.17
ipv6          1         2000   1                  857        919        1.22
ipv6          1         4000   1                  857        919        1.26
ipv6          1         10000  1                  859        921        1.18
ipv6          500       1      2                  866        928        1.20
ipv6          500       1000   22                 980        1042       1.59
ipv6          500       2000   44                 1094       1156       1.76
ipv6          500       4000   85                 1323       1385       2.43
ipv6          500       10000  212                2010       2072       4.21
ipv6          1000      1      4                  875        937        1.33
ipv6          1000      1000   44                 1104       1166       1.88
ipv6          1000      2000   87                 1333       1395       2.49
ipv6          1000      4000   169                1791       1853       3.67
ipv6          1000      10000  423                3164       3226       7.38
ipv6          2000      1      8                  894        954        1.34
ipv6          2000      1000   86                 1351       1413       2.70
ipv6          2000      2000   172                1809       1871       3.94
ipv6          2000      4000   337                2725       2787       6.62
ipv6          2000      10000  845                5471       5533       13.78
ipv6          3000      1      12                 913        973        1.47
ipv6          3000      1000   129                1599       1661       3.75
ipv6          3000      2000   258                2286       2345       5.42
ipv6          3000      4000   505                3659       3721       9.54
ipv6          3000      10000  1267               7779       7841       20.89
